Conversation,Level 0_mean_p,Level 1_mean_p,Level 2_mean_p,Level 3_mean_p,Level 4_mean_p,Level 5_mean_p,Level 6_mean_p,Level 7_mean_p,Label A_mean_p,Label B_mean_p,Label C_mean_p,Label D_mean_p,Label E_mean_p,Label F_mean_p,Label G_mean_p,Label H_mean_p,Label I_mean_p,Level 0_mean_np,Level 1_mean_np,Level 2_mean_np,Level 3_mean_np,Level 4_mean_np,Level 5_mean_np,Level 6_mean_np,Level 7_mean_np,Label A_mean_np,Label B_mean_np,Label C_mean_np,Label D_mean_np,Label E_mean_np,Label F_mean_np,Label G_mean_np,Label H_mean_np,Label I_mean_np,Level 0_grad_p,Level 1_grad_p,Level 2_grad_p,Level 3_grad_p,Level 4_grad_p,Level 5_grad_p,Level 6_grad_p,Level 7_grad_p,Label A_grad_p,Label B_grad_p,Label C_grad_p,Label D_grad_p,Label E_grad_p,Label F_grad_p,Label G_grad_p,Label H_grad_p,Label I_grad_p,Level 0_grad_np,Level 1_grad_np,Level 2_grad_np,Level 3_grad_np,Level 4_grad_np,Level 5_grad_np,Level 6_grad_np,Level 7_grad_np,Label A_grad_np,Label B_grad_np,Label C_grad_np,Label D_grad_np,Label E_grad_np,Label F_grad_np,Label G_grad_np,Label H_grad_np,Label I_grad_np
Conversation_1,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000016,-0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,0.0,0.0,0.0,0.0,0.0,-4.973883742554424e-18,0.2,0.0,0.0,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Conversation_2,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.125,0.0,0.125,0.375,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.035714285714285705,0.0,-0.011904761904761904,0.03571428571428571,0.0,0.0,0.08333333333333331,0.0,-0.059523809523809576,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333
Conversation_3,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-7.975632560155866e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380953,0.0,0.0,0.0,0.0,0.03571428571428574,0.0,0.0,0.0,0.0,0.05952380952380952,-0.011904761904761904,0.0,0.0,0.0,0.0,-0.130952380952381,0.0,0.0,0.0,0.0,0.0,0.08333333333333331
Conversation_4,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2466677325125226e-16,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.2000000000000001,0.10000000000000002,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Conversation_5,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999999,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Conversation_6,0.0,0.0,0.0,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06363636363636359,0.009090909090909094,0.0,0.0,0.0,0.0,-0.009090909090909087,0.0,0.018181818181818177,0.0,0.06363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,-0.016483516483516453,0.016483516483516494,0.0,0.0,0.032967032967032954,0.0,-0.032967032967032975,0.0,0.0,0.0,0.0,0.0,0.0
Conversation_7,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.30000000000000016,0.3000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857142857143,-0.028571428571428577,0.0,0.0,0.1428571428571428,0.0,-0.22857142857142848,0.0,0.0,0.0,0.0,0.0,0.1428571428571428
Conversation_8,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.125,0.625,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.033333333333333326,0.0,0.0,0.03333333333333335,-0.016666666666666646,0.0,0.0,0.0,1.445846464835485e-17,0.049999999999999975,0.06666666666666665,0.0,0.0,0.0,0.0,-0.0666666666666667,0.0,0.0,0.0,0.0,-0.011904761904761904,0.011904761904761864,0.0,0.0,0.08333333333333331,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333331
Conversation_9,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,2.1133401854611596e-17,-0.5,0.0,-4.973883742554424e-18,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.2
Conversation_10,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999988,0.0,0.0,0.0,0.0,-3.012400608888356e-17,0.0,0.0,0.0,0.2,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.2
Conversation_11,0.0,0.0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,-4.973883742554424e-18,0.0,-4.0352477207549445e-17,0.3000000000000001,0.0,0.0,0.0,-0.20000000000000007,-4.973883742554424e-18,0.2,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.02857142857142855,0.11428571428571424,0.0,0.0,0.0,0.0,-0.1428571428571428,0.057142857142857155,0.0,0.0,0.0,-0.028571428571428577,0.0
